id,name,value,timestamp
1,user_078,grape,2025-03-13T02:00:03.327811Z
2,user_068,mango,2025-03-13T02:00:03.328363Z
3,user_014,mango,2025-03-13T02:00:03.328870Z
4,user_063,kiwi,2025-03-13T02:00:03.329375Z
5,user_053,apple,2025-03-13T02:00:03.329882Z
6,user_075,kiwi,2025-03-13T02:00:03.330414Z
7,user_034,mango,2025-03-13T02:00:03.330922Z
8,user_009,apple,2025-03-13T02:00:03.331421Z
9,user_076,kiwi,2025-03-13T02:00:03.331903Z
10,user_091,mango,2025-03-13T02:00:03.332398Z
11,user_069,orange,2025-03-13T02:00:03.332892Z
12,user_009,mango,2025-03-13T02:00:03.333386Z
13,user_013,kiwi,2025-03-13T02:00:03.333858Z
14,user_040,apple,2025-03-13T02:00:03.334360Z
15,user_023,grape,2025-03-13T02:00:03.334899Z
16,user_039,orange,2025-03-13T02:00:03.335425Z
17,user_062,kiwi,2025-03-13T02:00:03.335927Z
18,user_060,grape,2025-03-13T02:00:03.336441Z
19,user_025,mango,2025-03-13T02:00:03.336969Z
20,user_032,grape,2025-03-13T02:00:03.337492Z
21,user_099,grape,2025-03-13T02:00:03.337989Z
22,user_079,mango,2025-03-13T02:00:03.338475Z
23,user_046,apple,2025-03-13T02:00:03.338971Z
24,user_031,apple,2025-03-13T02:00:03.339632Z
25,user_036,mango,2025-03-13T02:00:03.340241Z
26,user_057,mango,2025-03-13T02:00:03.340759Z
27,user_049,mango,2025-03-13T02:00:03.341337Z
28,user_079,kiwi,2025-03-13T02:00:03.341843Z
29,user_050,grape,2025-03-13T02:00:03.342369Z
30,user_007,kiwi,2025-03-13T02:00:03.342885Z
31,user_044,apple,2025-03-13T02:00:03.343442Z
32,user_041,orange,2025-03-13T02:00:03.343984Z
33,user_005,mango,2025-03-13T02:00:03.344515Z
34,user_053,kiwi,2025-03-13T02:00:03.345016Z
35,user_076,mango,2025-03-13T02:00:03.345519Z
36,user_012,mango,2025-03-13T02:00:03.346061Z
37,user_065,kiwi,2025-03-13T02:00:03.346604Z
38,user_070,mango,2025-03-13T02:00:03.347105Z
39,user_048,grape,2025-03-13T02:00:03.347598Z
40,user_083,kiwi,2025-03-13T02:00:03.348096Z
41,user_092,orange,2025-03-13T02:00:03.348580Z
42,user_006,orange,2025-03-13T02:00:03.349076Z
43,user_100,banana,2025-03-13T02:00:03.349563Z
44,user_090,grape,2025-03-13T02:00:03.350084Z
45,user_006,mango,2025-03-13T02:00:03.350581Z
46,user_021,kiwi,2025-03-13T02:00:03.351095Z
47,user_015,apple,2025-03-13T02:00:03.351631Z
48,user_051,grape,2025-03-13T02:00:03.352150Z
49,user_030,grape,2025-03-13T02:00:03.352683Z
50,user_080,orange,2025-03-13T02:00:03.353181Z
51,user_001,mango,2025-03-13T02:00:03.353706Z
52,user_096,grape,2025-03-13T02:00:03.354241Z
53,user_098,grape,2025-03-13T02:00:03.354760Z
54,user_074,orange,2025-03-13T02:00:03.355294Z
55,user_092,mango,2025-03-13T02:00:03.355833Z
56,user_074,orange,2025-03-13T02:00:03.356360Z
57,user_026,mango,2025-03-13T02:00:03.356850Z
58,user_037,orange,2025-03-13T02:00:03.357363Z
59,user_016,apple,2025-03-13T02:00:03.357862Z
60,user_066,grape,2025-03-13T02:00:03.358361Z
61,user_057,mango,2025-03-13T02:00:03.358857Z
62,user_007,grape,2025-03-13T02:00:03.359408Z
63,user_064,mango,2025-03-13T02:00:03.360108Z
64,user_079,banana,2025-03-13T02:00:03.360689Z
65,user_050,banana,2025-03-13T02:00:03.361202Z
66,user_050,grape,2025-03-13T02:00:03.361720Z
67,user_048,banana,2025-03-13T02:00:03.362257Z
68,user_095,mango,2025-03-13T02:00:03.362765Z
69,user_030,grape,2025-03-13T02:00:03.363366Z
70,user_027,grape,2025-03-13T02:00:03.363856Z
71,user_030,orange,2025-03-13T02:00:03.364352Z
72,user_019,orange,2025-03-13T02:00:03.364848Z
73,user_074,grape,2025-03-13T02:00:03.365353Z
74,user_002,mango,2025-03-13T02:00:03.365847Z
75,user_015,kiwi,2025-03-13T02:00:03.366349Z
76,user_007,kiwi,2025-03-13T02:00:03.366818Z
77,user_013,kiwi,2025-03-13T02:00:03.367426Z
78,user_099,grape,2025-03-13T02:00:03.367963Z
79,user_079,grape,2025-03-13T02:00:03.368495Z
80,user_028,grape,2025-03-13T02:00:03.369014Z
81,user_054,kiwi,2025-03-13T02:00:03.369522Z
82,user_090,grape,2025-03-13T02:00:03.370011Z
83,user_010,apple,2025-03-13T02:00:03.370545Z
84,user_033,grape,2025-03-13T02:00:03.371052Z
85,user_032,apple,2025-03-13T02:00:03.371560Z
86,user_064,grape,2025-03-13T02:00:03.372074Z
87,user_041,apple,2025-03-13T02:00:03.372590Z
88,user_034,banana,2025-03-13T02:00:03.373103Z
89,user_047,apple,2025-03-13T02:00:03.373623Z
90,user_064,banana,2025-03-13T02:00:03.374397Z
91,user_080,orange,2025-03-13T02:00:03.374934Z
92,user_075,banana,2025-03-13T02:00:03.375440Z
93,user_008,mango,2025-03-13T02:00:03.375951Z
94,user_032,mango,2025-03-13T02:00:03.376461Z
95,user_037,banana,2025-03-13T02:00:03.376950Z
96,user_076,grape,2025-03-13T02:00:03.377479Z
97,user_078,kiwi,2025-03-13T02:00:03.377974Z
98,user_002,banana,2025-03-13T02:00:03.378486Z
99,user_047,orange,2025-03-13T02:00:03.378980Z
100,user_083,orange,2025-03-13T02:00:03.379474Z
